ID,Site,Start Date,End Date,Duration (in seconds),How likely would you be to recommend Braven to a friend?,Braven was one of the most valuable personal or professional development experiences I've ever had.,Please indicate how much you agree with each of the following statements: - I see Braven as more than just a course; I feel like I am part of a broader movement.,Please indicate how much you agree with each of the following statements: - I have a mentor who encourages my goals and dreams.,"On average, how much time did you spend completing Braven-related work compared to your other courses every week?",How challenging was the work you completed for Braven compared to the work you complete in your other courses?,What is your major?,Please indicate how much you agree with each of the following statements: - I feel certain about my ability to get the job I want,Please indicate how much you agree with each of the following statements: - I have what it takes to get a good job,Please indicate how much you agree with each of the following statements: - I am certain that my job search will be successful
164,RU-N,2019-12-18 11:07:25,2019-12-18 11:27:53,1227,9,Strongly agree,Strongly agree,Agree,Somewhat less than other courses,Somewhat more challenging than other courses,Business Management And Administration,Agree,Agree,Agree
10,RU-N,2019-12-18 10:41:01,2019-12-18 11:40:19,3558,6,Agree,Agree,Strongly agree,Somewhat more than other courses,Somewhat more challenging than other courses,Finance,Strongly Disagree,Moderately Agree,Moderately Disagree
193,RU-N,2019-12-18 11:41:06,2019-12-18 11:53:53,767,8,Moderately agree,Agree,Agree,Somewhat more than other courses,Somewhat less challenging than other courses,Biology,Agree,Agree,Agree
212,SJSU,2019-12-17 19:08:34,2019-12-18 11:57:34,60539,8,Agree,Moderately agree,Neither agree nor disagree,Somewhat more than other courses,Somewhat more challenging than other courses,Microbiology,Moderately Agree,Moderately Agree,Moderately Agree
125,RU-N,2019-12-18 11:55:17,2019-12-18 12:28:04,1966,10,Strongly agree,Strongly agree,Agree,Somewhat less than other courses,Somewhat less challenging than other courses,Chemistry,Agree,Strongly agree,Strongly agree
37,RU-N,2019-12-18 12:24:09,2019-12-18 14:08:00,6230,5,Agree,Moderately agree,Strongly agree,Somewhat more than other courses,Somewhat more challenging than other courses,Supply Chain Management,Moderately Agree,Moderately Agree,Agree
135,RU-N,2019-12-18 14:22:01,2019-12-18 14:31:34,573,8,Strongly agree,Moderately agree,Disagree,Somewhat more than other courses,Far less challenging than other courses,Biology,Agree,Agree,Agree
198,SJSU,2019-12-18 15:01:40,2019-12-18 15:47:15,2735,6,Moderately agree,Moderately agree,Moderately agree,About the same as other courses,About the same as other courses,Business Management And Administration,Moderately Disagree,Moderately Disagree,Moderately Disagree
275,SJSU,2019-12-18 18:47:44,2019-12-18 18:59:59,735,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Hospitality Management,Agree,Moderately Agree,Neutral
121,RU-N,2019-12-18 20:46:29,2019-12-18 21:03:59,1049,10,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat more than other courses,About the same as other courses,Supply Chain Management,Neutral,Strongly agree,Strongly agree
