ID,Site,Start Date,End Date,Duration (in seconds),How likely would you be to recommend Braven to a friend?,Braven was one of the most valuable personal or professional development experiences I've ever had.,Please indicate how much you agree with each of the following statements: - I see Braven as more than just a course; I feel like I am part of a broader movement.,Please indicate how much you agree with each of the following statements: - I have a mentor who encourages my goals and dreams.,"On average, how much time did you spend completing Braven-related work compared to your other courses every week?",How challenging was the work you completed for Braven compared to the work you complete in your other courses?,What is your major?,Please indicate how much you agree with each of the following statements: - I feel certain about my ability to get the job I want,Please indicate how much you agree with each of the following statements: - I have what it takes to get a good job,Please indicate how much you agree with each of the following statements: - I am certain that my job search will be successful
84,SJSU,2019-12-11 14:14:33,2019-12-11 14:24:24,590,10,Strongly agree,Agree,Strongly agree,Somewhat less than other courses,Far less challenging than other courses,Business Management And Administration,Moderately Agree,Agree,Agree
178,SJSU,2019-12-11 15:17:10,2019-12-11 15:33:44,993,10,Strongly agree,Agree,Moderately agree,About the same as other courses,Somewhat less challenging than other courses,Sociology,Agree,Strongly agree,Agree
187,SJSU,2019-12-11 15:50:54,2019-12-11 15:59:26,511,10,Agree,Agree,Agree,Far less than other courses,Somewhat less challenging than other courses,Business Management And Administration,Strongly agree,Strongly agree,Strongly agree
70,SJSU,2019-12-11 18:06:45,2019-12-11 18:29:29,1364,4,Moderately agree,Moderately agree,Moderately agree,Somewhat less than other courses,About the same as other courses,Marketing,Moderately Agree,Moderately Agree,Moderately Agree
176,SJSU,2019-12-11 18:29:19,2019-12-11 18:44:27,907,5,Agree,Agree,Agree,Somewhat more than other courses,Somewhat more challenging than other courses,Communications,Agree,Agree,Agree
118,SJSU,2019-12-11 19:51:13,2019-12-11 20:17:27,1574,7,Neutral,Moderately agree,Strongly agree,Far less than other courses,Far less challenging than other courses,Biology,Agree,Moderately Agree,Moderately Agree
227,SJSU,2019-12-11 21:11:05,2019-12-11 21:19:31,505,7,Neutral,Neither agree nor disagree,Moderately agree,Somewhat more than other courses,Somewhat more challenging than other courses,Other [please specify],Agree,Strongly agree,Strongly agree
105,SJSU,2019-12-11 9:47:43,2019-12-11 21:21:11,41608,0,Strongly Disagree,Agree,Strongly agree,Far more than other courses,Somewhat more challenging than other courses,Marketing,Strongly agree,Strongly agree,Strongly agree
90,SJSU,2019-12-11 21:29:18,2019-12-11 21:40:41,682,1,Moderately disagree,Strongly Disagree,Strongly agree,Far less than other courses,Far more challenging than other courses,Undeclared,Moderately Disagree,Moderately Disagree,Moderately Disagree
69,SJSU,2019-12-11 22:57:42,2019-12-11 23:19:01,1278,10,Agree,Moderately agree,Moderately agree,Somewhat less than other courses,Far less challenging than other courses,Psychology,Moderately Agree,Agree,Moderately Disagree
67,SJSU,2019-12-11 23:39:44,2019-12-11 23:51:05,681,9,Disagree,Moderately agree,Moderately agree,Far less than other courses,Far less challenging than other courses,Business Management And Administration,Disagree,Agree,Disagree
210,SJSU,2019-12-12 1:50:03,2019-12-12 2:03:05,782,9,Moderately agree,Moderately disagree,Moderately disagree,Far less than other courses,Far less challenging than other courses,Economics,Agree,Agree,Agree
246,SJSU,2019-12-12 11:14:56,2019-12-12 11:31:05,968,10,Strongly agree,Agree,Strongly agree,About the same as other courses,About the same as other courses,Anthropology,Moderately Agree,Moderately Agree,Moderately Agree
226,RU-N,2019-12-12 14:01:11,2019-12-12 14:17:58,1006,10,Agree,Strongly agree,Agree,Somewhat more than other courses,About the same as other courses,Criminal Justice,Neutral,Agree,Neutral
223,RU-N,2019-12-12 14:09:04,2019-12-12 14:33:06,1441,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Criminal Justice,Neutral,Strongly agree,Neutral
99,RU-N,2019-12-12 14:27:20,2019-12-12 14:37:41,621,10,Strongly agree,Agree,Agree,Somewhat more than other courses,About the same as other courses,Supply Chain Management,Moderately Agree,Moderately Agree,Moderately Agree
132,SJSU,2019-12-12 14:09:30,2019-12-12 14:48:10,2319,8,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Sociology,Strongly agree,Strongly agree,Agree
136,RU-N,2019-12-12 14:48:17,2019-12-12 15:11:06,1369,2,Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat more than other courses,Far more challenging than other courses,Accounting,Moderately Agree,Moderately Agree,Moderately Agree
19,SJSU,2019-12-12 14:44:25,2019-12-12 15:11:36,1630,7,Moderately agree,Moderately disagree,Moderately agree,Somewhat less than other courses,Far less challenging than other courses,Finance,Agree,Strongly agree,Strongly agree
52,RU-N,2019-12-12 15:50:28,2019-12-12 16:19:38,1749,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,Somewhat less challenging than other courses,Biology,Agree,Agree,Agree
254,RU-N,2019-12-12 15:39:22,2019-12-12 16:42:00,3757,8,Moderately agree,Moderately disagree,Strongly agree,About the same as other courses,Somewhat less challenging than other courses,Accounting,Agree,Agree,Agree
63,SJSU,2019-12-12 16:58:41,2019-12-12 17:14:26,944,0,Strongly Disagree,Disagree,Agree,Somewhat more than other courses,About the same as other courses,Management Information Systems,Strongly Disagree,Moderately Disagree,Agree
76,RU-N,2019-12-12 16:39:27,2019-12-12 17:45:48,3980,6,Moderately agree,Moderately agree,Moderately agree,Somewhat more than other courses,About the same as other courses,Supply Chain Management,Moderately Agree,Moderately Agree,Moderately Agree
50,SJSU,2019-12-11 20:02:07,2019-12-12 18:28:04,80757,10,Strongly agree,Strongly agree,Strongly agree,Somewhat less than other courses,Far less challenging than other courses,Public Relations,Neutral,Moderately Agree,Agree
171,RU-N,2019-12-12 16:54:10,2019-12-12 19:42:36,10105,8,Agree,Strongly agree,Neither agree nor disagree,Somewhat more than other courses,About the same as other courses,Finance,Agree,Strongly agree,Agree
162,SJSU,2019-12-11 18:11:28,2019-12-12 19:47:36,92167,10,Strongly agree,Strongly agree,Strongly agree,Far more than other courses,Far more challenging than other courses,Computer Science,Moderately Disagree,Neutral,Moderately Agree
119,RU-N,2019-12-12 19:26:28,2019-12-12 20:49:18,4970,9,Agree,Strongly agree,Strongly agree,Far more than other courses,Somewhat more challenging than other courses,Other [please specify],Moderately Agree,Agree,Agree
201,SJSU,2019-12-12 20:30:54,2019-12-12 22:10:22,5967,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,Somewhat more challenging than other courses,Psychology,Strongly agree,Strongly agree,Strongly agree
29,SJSU,2019-12-13 0:53:59,2019-12-13 1:08:36,876,5,Neutral,Neither agree nor disagree,Agree,Somewhat less than other courses,About the same as other courses,Molecular Biology,Neutral,Strongly agree,Strongly agree
59,SJSU,2019-12-13 1:34:06,2019-12-13 1:53:37,1171,10,Strongly Disagree,Agree,Strongly agree,Somewhat less than other courses,Somewhat less challenging than other courses,Psychology,Strongly agree,Strongly agree,Strongly agree
228,RU-N,2019-12-13 1:29:14,2019-12-13 1:54:16,1502,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,Somewhat less challenging than other courses,Criminal Justice,Strongly agree,Strongly agree,Strongly agree
273,RU-N,2019-12-13 0:16:42,2019-12-13 2:25:42,7739,9,Strongly agree,Strongly agree,Agree,Somewhat more than other courses,Somewhat more challenging than other courses,Sociology,Agree,Moderately Agree,Agree
82,SJSU,2019-12-13 8:31:50,2019-12-13 8:37:12,322,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Health And Medical Administrative Services,Strongly agree,Strongly agree,Strongly agree
189,SJSU,2019-12-13 14:08:09,2019-12-13 14:21:01,771,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Sociology,Strongly agree,Strongly agree,Strongly agree
220,RU-N,2019-12-13 11:21:12,2019-12-13 14:48:42,12449,9,Strongly agree,Agree,Agree,Far more than other courses,Somewhat more challenging than other courses,Biology,Neutral,Moderately Agree,Agree
225,SJSU,2019-12-11 14:44:28,2019-12-13 14:57:20,173571,10,Agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Criminal Justice,Strongly agree,Strongly agree,Strongly agree
278,SJSU,2019-12-13 16:22:17,2019-12-13 17:02:51,2433,9,Agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Psychology,Neutral,Moderately Agree,Moderately Agree
17,SJSU,2019-12-13 17:21:52,2019-12-13 17:33:09,677,10,Strongly agree,Strongly agree,Strongly agree,Somewhat less than other courses,Far less challenging than other courses,Management Information Systems,Strongly agree,Strongly agree,Strongly agree
284,SJSU,2019-12-13 17:31:08,2019-12-13 17:35:56,288,10,Strongly agree,Strongly agree,Strongly agree,Far more than other courses,Far less challenging than other courses,Political Science And Government,Strongly agree,Strongly agree,Strongly agree
229,SJSU,2019-12-13 17:46:23,2019-12-13 17:52:10,347,7,Moderately agree,Moderately disagree,Agree,About the same as other courses,About the same as other courses,Economics,Neutral,Neutral,Neutral
137,SJSU,2019-12-11 9:18:26,2019-12-13 19:32:45,209658,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Business Management And Administration,Moderately Agree,Moderately Agree,Moderately Agree
143,SJSU,2019-12-13 19:01:29,2019-12-13 20:09:34,4084,0,Moderately disagree,Disagree,Neither agree nor disagree,Far more than other courses,Far more challenging than other courses,Sociology,Moderately Agree,Agree,Strongly agree
217,RU-N,2019-12-13 20:12:58,2019-12-13 20:24:22,683,10,Agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Supply Chain Management,Moderately Agree,Strongly agree,Moderately Agree
35,SJSU,2019-12-13 20:30:03,2019-12-13 20:56:17,1574,10,Agree,Agree,Agree,About the same as other courses,Somewhat less challenging than other courses,Business Management And Administration,Moderately Agree,Neutral,Agree
13,SJSU,2019-12-10 20:47:43,2019-12-13 21:55:19,263256,8,Agree,Agree,Agree,About the same as other courses,About the same as other courses,Communications,Moderately Agree,Agree,Moderately Agree
215,SJSU,2019-12-13 22:01:44,2019-12-13 22:09:58,493,10,Strongly agree,Agree,Agree,Somewhat more than other courses,Somewhat more challenging than other courses,Communications,Strongly agree,Strongly agree,Strongly agree
39,SJSU,2019-12-13 21:56:39,2019-12-13 22:14:28,1069,8,Strongly agree,Agree,Agree,Somewhat more than other courses,Somewhat less challenging than other courses,Psychology,Moderately Agree,Agree,Agree
169,SJSU,2019-12-13 22:11:41,2019-12-13 22:30:06,1105,10,Strongly agree,Agree,Strongly agree,Somewhat less than other courses,Far less challenging than other courses,Mechanical Engineering,Agree,Moderately Agree,Neutral
213,SJSU,2019-12-13 21:14:47,2019-12-14 0:45:45,12657,8,Neutral,Neither agree nor disagree,Agree,About the same as other courses,Far less challenging than other courses,Finance,Strongly agree,Strongly agree,Strongly agree
196,SJSU,2019-12-14 10:37:46,2019-12-14 11:02:53,1507,10,Moderately agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Public Relations,Agree,Agree,Strongly agree
256,SJSU,2019-12-14 11:09:12,2019-12-14 11:30:09,1256,9,Agree,Moderately agree,Moderately agree,About the same as other courses,Somewhat more challenging than other courses,Computer Science,Moderately Agree,Agree,Agree
283,RU-N,2019-12-13 7:39:51,2019-12-14 14:51:33,112302,9,Agree,Agree,Neither agree nor disagree,Somewhat more than other courses,About the same as other courses,Management Information Systems,Strongly agree,Agree,Strongly agree
208,SJSU,2019-12-14 23:26:03,2019-12-14 23:30:59,296,10,Strongly agree,Strongly agree,Strongly agree,Far less than other courses,Far less challenging than other courses,Communications,Strongly agree,Strongly agree,Strongly agree
265,RU-N,2019-12-15 9:05:28,2019-12-15 9:40:00,2072,6,Moderately agree,Moderately agree,Strongly agree,Somewhat less than other courses,Somewhat more challenging than other courses,Biology,Moderately Agree,Agree,Agree
160,SJSU,2019-12-15 13:16:15,2019-12-15 13:26:57,642,9,Moderately agree,Moderately disagree,Disagree,Somewhat less than other courses,Somewhat less challenging than other courses,Public Health,Agree,Agree,Agree
127,SJSU,2019-12-11 0:17:13,2019-12-15 15:19:36,399743,7,Moderately agree,Moderately disagree,Moderately agree,Somewhat more than other courses,Far less challenging than other courses,Business Management And Administration,Agree,Agree,Neutral
58,RU-N,2019-12-15 16:46:07,2019-12-15 17:02:01,953,9,Agree,Agree,Strongly agree,Somewhat less than other courses,Somewhat less challenging than other courses,Graphic Design,Agree,Agree,Strongly agree
97,SJSU,2019-12-13 17:05:39,2019-12-15 17:09:24,173024,8,Disagree,Neither agree nor disagree,Disagree,Somewhat more than other courses,About the same as other courses,Social Psychology,Neutral,Neutral,Moderately Disagree
153,RU-N,2019-12-15 17:39:33,2019-12-15 17:57:28,1075,10,Strongly agree,Agree,Agree,Somewhat less than other courses,Far less challenging than other courses,Biology,Moderately Agree,Strongly agree,Agree
123,SJSU,2019-12-15 18:07:28,2019-12-15 18:22:21,893,8,Moderately agree,Agree,Strongly agree,About the same as other courses,Somewhat less challenging than other courses,Political Science And Government,Neutral,Neutral,Neutral
188,SJSU,2019-12-15 19:09:32,2019-12-15 19:26:39,1026,2,Disagree,Disagree,Moderately agree,Far more than other courses,About the same as other courses,Marketing,Agree,Strongly agree,Strongly agree
66,SJSU,2019-12-15 19:26:25,2019-12-15 19:41:40,914,2,Disagree,Strongly Disagree,Strongly Disagree,Far more than other courses,Far less challenging than other courses,Psychology,Neutral,Moderately Agree,Neutral
41,SJSU,2019-12-15 19:41:30,2019-12-15 19:53:52,741,9,Strongly agree,Strongly agree,Moderately agree,About the same as other courses,Somewhat less challenging than other courses,Business Management And Administration,Moderately Agree,Moderately Agree,Moderately Agree
271,SJSU,2019-12-13 21:37:24,2019-12-15 22:04:22,174417,7,Moderately agree,Moderately agree,Disagree,Somewhat more than other courses,About the same as other courses,Business Management And Administration,Moderately Disagree,Moderately Agree,Neutral
231,SJSU,2019-12-15 22:03:36,2019-12-15 22:33:57,1820,7,Moderately agree,Moderately agree,Strongly agree,Somewhat more than other courses,Somewhat more challenging than other courses,Communications,Agree,Agree,Agree
8,RU-N,2019-12-16 6:00:49,2019-12-16 6:28:20,1651,8,Agree,Moderately agree,Agree,About the same as other courses,Somewhat more challenging than other courses,Computer Science,Moderately Agree,Moderately Agree,Agree
54,RU-N,2019-12-16 6:21:37,2019-12-16 6:51:46,1809,9,Agree,Strongly agree,Strongly agree,Somewhat less than other courses,Somewhat less challenging than other courses,Criminal Justice,Moderately Disagree,Agree,Agree
170,SJSU,2019-12-16 8:25:59,2019-12-16 8:34:03,484,10,Agree,Strongly agree,Strongly agree,Somewhat less than other courses,About the same as other courses,Business Management And Administration,Agree,Agree,Agree
107,SJSU,2019-12-16 9:46:04,2019-12-16 10:00:55,891,5,Agree,Agree,Agree,Somewhat more than other courses,Somewhat less challenging than other courses,Computer Science,Neutral,Neutral,Moderately Agree
25,RU-N,2019-12-16 7:18:04,2019-12-16 10:12:12,10447,7,Moderately agree,Moderately agree,Agree,Somewhat more than other courses,About the same as other courses,Psychology,Strongly agree,Strongly agree,Strongly agree
258,SJSU,2019-12-16 11:12:36,2019-12-16 11:28:50,974,2,Disagree,Disagree,Neither agree nor disagree,About the same as other courses,Somewhat more challenging than other courses,Psychology,Strongly Disagree,Strongly Disagree,Strongly Disagree
207,RU-N,2019-12-16 11:36:13,2019-12-16 11:46:46,632,10,Strongly agree,Strongly agree,Moderately agree,About the same as other courses,Far less challenging than other courses,Health And Medical Administrative Services,Agree,Moderately Agree,Agree
38,RU-N,2019-12-16 9:39:16,2019-12-16 12:26:57,10060,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Psychology,Agree,Strongly agree,Agree
114,RU-N,2019-12-16 13:26:42,2019-12-16 13:58:11,1888,8,Agree,Neither agree nor disagree,Agree,Far more than other courses,Somewhat less challenging than other courses,Psychology,Neutral,Disagree,Agree
49,SJSU,2019-12-16 14:08:38,2019-12-16 14:35:54,1635,7,Moderately agree,Neither agree nor disagree,Moderately agree,Somewhat more than other courses,About the same as other courses,Nutrition Sciences,Moderately Agree,Moderately Disagree,Neutral
23,RU-N,2019-12-15 20:13:10,2019-12-16 15:01:25,67695,6,Moderately agree,Moderately agree,Moderately agree,Somewhat less than other courses,Far less challenging than other courses,Neuroscience,Agree,Agree,Agree
26,SJSU,2019-12-16 15:31:07,2019-12-16 15:39:41,513,6,Moderately agree,Moderately disagree,Moderately agree,Somewhat more than other courses,Somewhat more challenging than other courses,Aerospace Engineering,Strongly agree,Strongly agree,Strongly agree
12,RU-N,2019-12-16 15:54:06,2019-12-16 16:05:07,660,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Accounting,Agree,Agree,Agree
65,RU-N,2019-12-16 6:04:31,2019-12-16 17:06:59,39748,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Biology,Moderately Agree,Moderately Agree,Moderately Agree
27,SJSU,2019-12-13 9:08:00,2019-12-16 17:35:51,289671,10,Agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Psychology,Strongly agree,Strongly agree,Strongly agree
48,SJSU,2019-12-16 17:37:03,2019-12-16 17:54:12,1029,10,Neutral,Moderately agree,Strongly agree,Somewhat more than other courses,Far less challenging than other courses,Humanities,Strongly agree,Strongly agree,Strongly agree
149,RU-N,2019-12-16 18:46:57,2019-12-16 18:56:31,573,10,Agree,Strongly agree,Moderately agree,About the same as other courses,Somewhat more challenging than other courses,Business Management And Administration,Strongly agree,Strongly agree,Strongly agree
91,SJSU,2019-12-16 18:50:42,2019-12-16 19:05:08,866,8,Disagree,Neither agree nor disagree,Strongly Disagree,Somewhat more than other courses,Somewhat less challenging than other courses,Management Information Systems,Moderately Agree,Moderately Disagree,Agree
233,RU-N,2019-12-16 18:38:21,2019-12-16 19:12:59,2078,10,Strongly agree,Agree,Neither agree nor disagree,Somewhat less than other courses,Somewhat less challenging than other courses,Management Information Systems,Agree,Agree,Moderately Agree
282,SJSU,2019-12-16 19:15:30,2019-12-16 19:41:12,1542,8,Agree,Agree,Moderately agree,Somewhat more than other courses,About the same as other courses,Communications,Moderately Disagree,Neutral,Neutral
92,SJSU,2019-12-16 18:29:50,2019-12-16 19:44:45,4494,8,Agree,Moderately agree,Moderately agree,Somewhat more than other courses,Far more challenging than other courses,Environmental Science,Neutral,Neutral,Neutral
77,SJSU,2019-12-16 18:47:29,2019-12-16 19:58:50,4281,8,Moderately agree,Agree,Strongly agree,About the same as other courses,Somewhat less challenging than other courses,Communications,Neutral,Agree,Agree
249,SJSU,2019-12-16 20:06:14,2019-12-16 20:20:43,868,7,Neutral,Agree,Agree,About the same as other courses,Somewhat more challenging than other courses,Economics,Agree,Agree,Agree
200,SJSU,2019-12-11 9:48:34,2019-12-16 20:32:46,470651,9,Moderately agree,Moderately agree,Neither agree nor disagree,Far less than other courses,Somewhat less challenging than other courses,Computer Science,Neutral,Neutral,Neutral
117,SJSU,2019-12-16 20:37:14,2019-12-16 20:47:18,603,7,Moderately agree,Neither agree nor disagree,Neither agree nor disagree,Far more than other courses,Far more challenging than other courses,Communications,Neutral,Neutral,Neutral
140,SJSU,2019-12-10 18:28:51,2019-12-16 21:12:55,528244,10,Moderately agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Communications,Agree,Agree,Agree
139,SJSU,2019-12-16 21:31:36,2019-12-16 21:57:24,1547,10,Strongly agree,Strongly agree,Agree,Far more than other courses,About the same as other courses,Psychology,Moderately Agree,Moderately Agree,Moderately Agree
280,SJSU,2019-12-16 21:37:38,2019-12-16 21:57:38,1199,9,Agree,Agree,Agree,Somewhat more than other courses,Far more challenging than other courses,Business Management And Administration,Strongly agree,Strongly agree,Strongly agree
230,RU-N,2019-12-16 23:22:05,2019-12-16 23:36:39,873,10,Strongly agree,Agree,Agree,About the same as other courses,Somewhat more challenging than other courses,Supply Chain Management,Agree,Agree,Agree
53,SJSU,2019-12-17 0:15:11,2019-12-17 0:36:36,1284,8,Agree,Moderately agree,Disagree,Far more than other courses,Somewhat more challenging than other courses,Psychology,Moderately Agree,Agree,Neutral
78,SJSU,2019-12-17 2:52:26,2019-12-17 3:15:54,1407,9,Agree,Agree,Neither agree nor disagree,About the same as other courses,About the same as other courses,Criminology,Moderately Agree,Moderately Agree,Moderately Agree
199,RU-N,2019-12-17 7:05:30,2019-12-17 7:25:23,1193,6,Moderately agree,Moderately agree,Agree,Somewhat less than other courses,Somewhat more challenging than other courses,Visual And Performing Arts,Agree,Agree,Agree
279,SJSU,2019-12-17 7:52:09,2019-12-17 8:02:44,635,7,Moderately agree,Agree,Agree,Far more than other courses,Somewhat more challenging than other courses,Public Health,Agree,Agree,Agree
186,SJSU,2019-12-17 8:27:38,2019-12-17 8:47:00,1162,8,Agree,Agree,Agree,Somewhat more than other courses,Far less challenging than other courses,Other [please specify],Strongly agree,Strongly agree,Strongly agree
116,SJSU,2019-12-17 9:04:22,2019-12-17 9:19:50,927,10,Agree,Agree,Strongly agree,Somewhat less than other courses,Somewhat less challenging than other courses,Psychology,Strongly agree,Strongly agree,Agree
175,RU-N,2019-12-16 6:30:36,2019-12-17 9:23:46,96789,3,Neutral,Moderately agree,Moderately agree,Somewhat less than other courses,Somewhat more challenging than other courses,Political Science And Government,Moderately Agree,Agree,Agree
106,SJSU,2019-12-17 9:39:23,2019-12-17 9:57:32,1088,9,Agree,Moderately agree,Agree,Somewhat more than other courses,About the same as other courses,Psychology,Moderately Agree,Agree,Agree
263,SJSU,2019-12-17 10:02:00,2019-12-17 10:17:30,929,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Other [please specify],Agree,Strongly agree,Strongly agree
192,SJSU,2019-12-17 10:06:27,2019-12-17 10:22:58,990,8,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat more than other courses,Somewhat less challenging than other courses,Management Information Systems,Moderately Agree,Moderately Agree,Moderately Agree
206,SJSU,2019-12-17 10:08:23,2019-12-17 10:23:01,878,10,Agree,Agree,Moderately agree,Somewhat less than other courses,About the same as other courses,Other [please specify],Agree,Agree,Moderately Agree
241,SJSU,2019-12-17 10:28:47,2019-12-17 10:41:10,743,3,Moderately disagree,Disagree,Agree,About the same as other courses,Somewhat more challenging than other courses,Economics,Moderately Agree,Neutral,Moderately Agree
83,SJSU,2019-12-17 9:13:03,2019-12-17 10:53:48,6045,10,Strongly agree,Agree,Agree,Far more than other courses,Far more challenging than other courses,Other [please specify],Agree,Strongly agree,Strongly agree
166,SJSU,2019-12-17 10:57:53,2019-12-17 11:20:06,1333,8,Strongly agree,Strongly agree,Agree,Somewhat less than other courses,Somewhat less challenging than other courses,Computer Science,Moderately Agree,Moderately Agree,Neutral
31,SJSU,2019-12-17 12:14:24,2019-12-17 12:37:22,1378,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Other [please specify],Agree,Agree,Agree
251,SJSU,2019-12-17 12:42:04,2019-12-17 12:57:58,953,10,Strongly agree,Strongly agree,Strongly agree,Far less than other courses,Somewhat more challenging than other courses,Other [please specify],Strongly agree,Strongly agree,Strongly agree
115,SJSU,2019-12-10 18:20:12,2019-12-17 13:07:56,586064,10,Moderately agree,Agree,Strongly agree,Somewhat more than other courses,Somewhat more challenging than other courses,Communications,Moderately Agree,Agree,Strongly agree
216,SJSU,2019-12-17 13:27:27,2019-12-17 13:46:02,1114,9,Moderately agree,Agree,Neither agree nor disagree,Far more than other courses,Somewhat more challenging than other courses,Communications,Moderately Agree,Agree,Moderately Agree
51,RU-N,2019-12-17 13:37:43,2019-12-17 13:48:02,618,10,Strongly agree,Strongly agree,Strongly agree,Somewhat less than other courses,Somewhat less challenging than other courses,Business Management And Administration,Agree,Moderately Agree,Agree
55,SJSU,2019-12-17 13:54:38,2019-12-17 14:12:31,1073,6,Neutral,Disagree,Disagree,Far more than other courses,Far more challenging than other courses,Economics,Agree,Agree,Agree
95,SJSU,2019-12-14 11:45:18,2019-12-17 14:37:17,269518,10,Strongly agree,Strongly Disagree,Strongly agree,Far more than other courses,Somewhat less challenging than other courses,International Business,Neutral,Neutral,Agree
268,SJSU,2019-12-17 14:26:36,2019-12-17 14:44:14,1057,7,Moderately agree,Moderately agree,Moderately agree,About the same as other courses,About the same as other courses,Nutrition Sciences,Moderately Agree,Moderately Agree,Moderately Agree
57,RU-N,2019-12-17 14:33:54,2019-12-17 14:50:48,1014,7,Moderately agree,Moderately disagree,Agree,Somewhat more than other courses,Somewhat more challenging than other courses,Supply Chain Management,Moderately Disagree,Moderately Agree,Neutral
86,RU-N,2019-12-17 14:50:24,2019-12-17 15:01:39,674,10,Strongly agree,Moderately disagree,Strongly agree,Somewhat more than other courses,About the same as other courses,Marketing,Strongly agree,Strongly agree,Strongly agree
235,RU-N,2019-12-17 14:57:22,2019-12-17 15:03:29,366,9,Agree,Agree,Agree,About the same as other courses,Somewhat less challenging than other courses,Biology,Moderately Disagree,Neutral,Neutral
60,SJSU,2019-12-17 15:10:34,2019-12-17 15:19:15,520,9,Agree,Agree,Agree,Somewhat more than other courses,About the same as other courses,Visual And Performing Arts,Agree,Agree,Agree
247,SJSU,2019-12-17 14:46:39,2019-12-17 15:21:50,2110,10,Strongly Disagree,Strongly agree,Agree,Somewhat less than other courses,Somewhat less challenging than other courses,Other [please specify],Moderately Agree,Strongly agree,Strongly agree
154,SJSU,2019-12-17 15:20:35,2019-12-17 15:32:17,701,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Communications,Strongly agree,Strongly agree,Strongly agree
266,SJSU,2019-12-17 15:44:34,2019-12-17 15:59:35,901,10,Strongly agree,Strongly agree,Strongly agree,Far less than other courses,Far less challenging than other courses,Management Information Systems,Strongly agree,Strongly agree,Strongly agree
260,SJSU,2019-12-17 15:41:26,2019-12-17 16:01:04,1177,8,Moderately agree,Strongly agree,Moderately agree,Far more than other courses,Somewhat more challenging than other courses,Sociology,Agree,Agree,Agree
74,RU-N,2019-12-17 15:45:49,2019-12-17 16:04:27,1117,10,Strongly agree,Agree,Strongly agree,Somewhat more than other courses,Somewhat less challenging than other courses,Sociology,Strongly agree,Strongly agree,Strongly agree
